Sale Price,No of Bedrooms,No of Bathrooms,No of Floors,Flat Area (in Sqft),Basement Area (in Sqft),Built Year,Renovation Year,Age of House (in Years),Years Since Renovation,Ever Renovated,Sale Price Bin
357577,4,2.0,2.0,5458,2029,1942,0,81,0,No,350K
375337,5,2.25,2.5,911,2066,1949,0,74,0,No,375K
393097,2,2.5,1.0,964,2103,1956,0,67,0,No,400K
410857,3,3.0,1.5,1017,2140,1963,0,60,0,No,400K
428617,4,1.0,2.0,1070,2177,1970,0,53,0,No,425K
446377,5,1.5,2.5,1123,2214,1977,2006,46,17,Yes,450K
464137,2,2.0,1.0,1176,2251,1984,0,39,0,No,475K
481897,3,2.25,1.5,1229,2288,1991,0,32,0,No,475K
499657,4,2.5,2.0,1282,2325,1998,0,25,0,No,500K
517417,5,3.0,2.5,1335,2362,2005,0,18,0,No,525K
535177,2,1.0,1.0,1388,1222,2012,0,11,0,No,525K
552937,3,1.5,1.5,1441,1259,1906,0,117,0,No,550K
570697,4,2.0,2.0,1494,1296,1913,2013,110,10,Yes,575K
588457,5,2.25,2.5,1547,1333,1920,0,103,0,No,600K
606217,2,2.5,1.0,1600,1370,1927,0,96,0,No,600K
623977,3,3.0,1.5,1653,1407,1934,0,89,0,No,625K
641737,4,1.0,2.0,1706,1444,1941,0,82,0,No,625K
659497,5,1.5,2.5,1759,1481,1948,0,75,0,No,625K
677257,2,2.0,1.0,1812,1518,1955,0,68,0,No,625K
695017,3,2.25,1.5,1865,1555,1962,1985,61,38,Yes,625K
712777,4,2.5,2.0,1918,1592,1969,0,54,0,No,625K
730537,5,3.0,2.5,1971,1629,1976,0,47,0,No,625K
748297,2,1.0,1.0,2024,1666,1983,0,40,0,No,625K
285577,3,1.5,1.5,2077,1703,1990,0,33,0,No,275K
303337,4,2.0,2.0,2130,1740,1997,0,26,0,No,300K
321097,5,2.25,2.5,2183,1777,2004,0,19,0,No,325K
338857,2,2.5,1.0,2236,1814,2011,1992,12,31,Yes,350K
356617,3,3.0,1.5,2289,1851,1905,0,118,0,No,350K
374377,4,1.0,2.0,2342,1888,1912,0,111,0,No,375K
392137,5,1.5,2.5,2395,1925,1919,0,104,0,No,400K
409897,2,2.0,1.0,2448,1962,1926,0,97,0,No,400K
427657,3,2.25,1.5,2501,1999,1933,0,90,0,No,425K
445417,4,2.5,2.0,2554,2036,1940,0,83,0,No,450K
463177,5,3.0,2.5,2607,2073,1947,1999,76,24,Yes,475K
480937,2,1.0,1.0,2660,2110,1954,0,69,0,No,475K
498697,3,1.5,1.5,2713,2147,1961,0,62,0,No,500K
516457,4,2.0,2.0,2766,2184,1968,0,55,0,No,525K
534217,5,2.25,2.5,2819,2221,1975,0,48,0,No,525K
551977,2,2.5,1.0,2872,2258,1982,0,41,0,No,550K
569737,3,3.0,1.5,2925,2295,1989,0,34,0,No,575K
587497,4,1.0,2.0,2978,2332,1996,2006,27,17,Yes,575K
605257,5,1.5,2.5,3031,2369,2003,0,20,0,No,600K
623017,2,2.0,1.0,3084,1229,2010,0,13,0,No,625K
640777,3,2.25,1.5,3137,1266,2017,0,6,0,No,625K
658537,4,2.5,2.0,3190,1303,1911,0,112,0,No,625K
676297,5,3.0,2.5,3243,1340,1918,0,105,0,No,625K
694057,2,1.0,1.0,3296,1377,1925,0,98,0,No,625K
711817,3,1.5,1.5,3349,1414,1932,2013,91,10,Yes,625K
729577,4,2.0,2.0,3402,1451,1939,0,84,0,No,625K
747337,5,2.25,2.5,3455,1488,1946,0,77,0,No,625K
284617,2,2.5,1.0,3508,1525,1953,0,70,0,No,275K
302377,3,3.0,1.5,3561,1562,1960,0,63,0,No,300K
320137,4,1.0,2.0,3614,1599,1967,0,56,0,No,325K
337897,5,1.5,2.5,3667,1636,1974,0,49,0,No,350K
355657,2,2.0,1.0,3720,1673,1981,1985,42,38,Yes,350K
373417,3,2.25,1.5,3773,1710,1988,0,35,0,No,375K
391177,4,2.5,2.0,3826,1747,1995,0,28,0,No,400K
408937,5,3.0,2.5,3879,1784,2002,0,21,0,No,400K
426697,2,1.0,1.0,3932,1821,2009,0,14,0,No,425K
444457,3,1.5,1.5,3985,1858,2016,0,7,0,No,450K
462217,4,2.0,2.0,4038,1895,1910,0,113,0,No,450K
479977,5,2.25,2.5,4091,1932,1917,1992,106,31,Yes,475K
497737,2,2.5,1.0,4144,1969,1924,0,99,0,No,500K
515497,3,3.0,1.5,4197,2006,1931,0,92,0,No,525K
533257,4,1.0,2.0,4250,2043,1938,0,85,0,No,525K
551017,5,1.5,2.5,4303,2080,1945,0,78,0,No,550K
568777,2,2.0,1.0,4356,2117,1952,0,71,0,No,575K
586537,3,2.25,1.5,4409,2154,1959,0,64,0,No,575K
604297,4,2.5,2.0,4462,2191,1966,1999,57,24,Yes,600K
622057,5,3.0,2.5,4515,2228,1973,0,50,0,No,625K
639817,2,1.0,1.0,4568,2265,1980,0,43,0,No,625K
657577,3,1.5,1.5,4621,2302,1987,0,36,0,No,625K
675337,4,2.0,2.0,4674,2339,1994,0,29,0,No,625K
693097,5,2.25,2.5,4727,2376,2001,0,22,0,No,625K
710857,2,2.5,1.0,4780,1236,2008,0,15,0,No,625K
728617,3,3.0,1.5,4833,1273,2015,2006,8,17,Yes,625K
746377,4,1.0,2.0,4886,1310,1909,0,114,0,No,625K
283657,5,1.5,2.5,4939,1347,1916,0,107,0,No,275K
301417,2,2.0,1.0,4992,1384,1923,0,100,0,No,300K
319177,3,2.25,1.5,5045,1421,1930,0,93,0,No,325K
336937,4,2.5,2.0,5098,1458,1937,0,86,0,No,325K
354697,5,3.0,2.5,5151,1495,1944,0,79,0,No,350K
372457,2,1.0,1.0,5204,1532,1951,2013,72,10,Yes,375K
390217,3,1.5,1.5,5257,1569,1958,0,65,0,No,400K
407977,4,2.0,2.0,5310,1606,1965,0,58,0,No,400K
425737,5,2.25,2.5,5363,1643,1972,0,51,0,No,425K
443497,2,2.5,1.0,5416,1680,1979,0,44,0,No,450K
461257,3,3.0,1.5,5469,1717,1986,0,37,0,No,450K
479017,4,1.0,2.0,922,1754,1993,0,30,0,No,475K
496777,5,1.5,2.5,975,1791,2000,1985,23,38,Yes,500K
514537,2,2.0,1.0,1028,1828,2007,0,16,0,No,525K
532297,3,2.25,1.5,1081,1865,2014,0,9,0,No,525K
550057,4,2.5,2.0,1134,1902,1908,0,115,0,No,550K
567817,5,3.0,2.5,1187,1939,1915,0,108,0,No,575K
585577,2,1.0,1.0,1240,1976,1922,0,101,0,No,575K
603337,3,1.5,1.5,1293,2013,1929,0,94,0,No,600K
621097,4,2.0,2.0,1346,2050,1936,1992,87,31,Yes,625K
638857,5,2.25,2.5,1399,2087,1943,0,80,0,No,625K
656617,2,2.5,1.0,1452,2124,1950,0,73,0,No,625K
674377,3,3.0,1.5,1505,2161,1957,0,66,0,No,625K
692137,4,1.0,2.0,1558,2198,1964,0,59,0,No,625K
709897,5,1.5,2.5,1611,2235,1971,0,52,0,No,625K
727657,2,2.0,1.0,1664,2272,1978,0,45,0,No,625K
745417,3,2.25,1.5,1717,2309,1985,1999,38,24,Yes,625K
282697,4,2.5,2.0,1770,2346,1992,0,31,0,No,275K
300457,5,3.0,2.5,1823,1206,1999,0,24,0,No,300K
318217,2,1.0,1.0,1876,1243,2006,0,17,0,No,325K
335977,3,1.5,1.5,1929,1280,2013,0,10,0,No,325K
353737,4,2.0,2.0,1982,1317,1907,0,116,0,No,350K
371497,5,2.25,2.5,2035,1354,1914,0,109,0,No,375K
389257,2,2.5,1.0,2088,1391,1921,2006,102,17,Yes,400K
407017,3,3.0,1.5,2141,1428,1928,0,95,0,No,400K
424777,4,1.0,2.0,2194,1465,1935,0,88,0,No,425K
442537,5,1.5,2.5,2247,1502,1942,0,81,0,No,450K
460297,2,2.0,1.0,2300,1539,1949,0,74,0,No,450K
478057,3,2.25,1.5,2353,1576,1956,0,67,0,No,475K
495817,4,2.5,2.0,2406,1613,1963,0,60,0,No,500K
513577,5,3.0,2.5,2459,1650,1970,2013,53,10,Yes,525K
531337,2,1.0,1.0,2512,1687,1977,0,46,0,No,525K
549097,3,1.5,1.5,2565,1724,1984,0,39,0,No,550K
566857,4,2.0,2.0,2618,1761,1991,0,32,0,No,575K
584617,5,2.25,2.5,2671,1798,1998,0,25,0,No,575K
602377,2,2.5,1.0,2724,1835,2005,0,18,0,No,600K
620137,3,3.0,1.5,2777,1872,2012,0,11,0,No,625K
637897,4,1.0,2.0,2830,1909,1906,1985,117,38,Yes,625K
655657,5,1.5,2.5,2883,1946,1913,0,110,0,No,625K
673417,2,2.0,1.0,2936,1983,1920,0,103,0,No,625K
691177,3,2.25,1.5,2989,2020,1927,0,96,0,No,625K
708937,4,2.5,2.0,3042,2057,1934,0,89,0,No,625K
726697,5,3.0,2.5,3095,2094,1941,0,82,0,No,625K
744457,2,1.0,1.0,3148,2131,1948,0,75,0,No,625K
281737,3,1.5,1.5,3201,2168,1955,1992,68,31,Yes,275K
299497,4,2.0,2.0,3254,2205,1962,0,61,0,No,300K
317257,5,2.25,2.5,3307,2242,1969,0,54,0,No,325K
335017,2,2.5,1.0,3360,2279,1976,0,47,0,No,325K
352777,3,3.0,1.5,3413,2316,1983,0,40,0,No,350K
370537,4,1.0,2.0,3466,2353,1990,0,33,0,No,375K
388297,5,1.5,2.5,3519,1213,1997,0,26,0,No,400K
406057,2,2.0,1.0,3572,1250,2004,1999,19,24,Yes,400K
423817,3,2.25,1.5,3625,1287,2011,0,12,0,No,425K
441577,4,2.5,2.0,3678,1324,1905,0,118,0,No,450K
459337,5,3.0,2.5,3731,1361,1912,0,111,0,No,450K
477097,2,1.0,1.0,3784,1398,1919,0,104,0,No,475K
494857,3,1.5,1.5,3837,1435,1926,0,97,0,No,500K
512617,4,2.0,2.0,3890,1472,1933,0,90,0,No,525K
530377,5,2.25,2.5,3943,1509,1940,2006,83,17,Yes,525K
548137,2,2.5,1.0,3996,1546,1947,0,76,0,No,550K
565897,3,3.0,1.5,4049,1583,1954,0,69,0,No,575K
583657,4,1.0,2.0,4102,1620,1961,0,62,0,No,575K
601417,5,1.5,2.5,4155,1657,1968,0,55,0,No,600K
619177,2,2.0,1.0,4208,1694,1975,0,48,0,No,625K
636937,3,2.25,1.5,4261,1731,1982,0,41,0,No,625K
654697,4,2.5,2.0,4314,1768,1989,2013,34,10,Yes,625K
672457,5,3.0,2.5,4367,1805,1996,0,27,0,No,625K
690217,2,1.0,1.0,4420,1842,2003,0,20,0,No,625K
707977,3,1.5,1.5,4473,1879,2010,0,13,0,No,625K
725737,4,2.0,2.0,4526,1916,2017,0,6,0,No,625K
743497,5,2.25,2.5,4579,1953,1911,0,112,0,No,625K
280777,2,2.5,1.0,4632,1990,1918,0,105,0,No,275K
298537,3,3.0,1.5,4685,2027,1925,1985,98,38,Yes,300K
316297,4,1.0,2.0,4738,2064,1932,0,91,0,No,325K
334057,5,1.5,2.5,4791,2101,1939,0,84,0,No,325K
351817,2,2.0,1.0,4844,2138,1946,0,77,0,No,350K
369577,3,2.25,1.5,4897,2175,1953,0,70,0,No,375K
387337,4,2.5,2.0,4950,2212,1960,0,63,0,No,375K
405097,5,3.0,2.5,5003,2249,1967,0,56,0,No,400K
422857,2,1.0,1.0,5056,2286,1974,1992,49,31,Yes,425K
440617,3,1.5,1.5,5109,2323,1981,0,42,0,No,450K
458377,4,2.0,2.0,5162,2360,1988,0,35,0,No,450K
476137,5,2.25,2.5,5215,1220,1995,0,28,0,No,475K
493897,2,2.5,1.0,5268,1257,2002,0,21,0,No,500K
511657,3,3.0,1.5,5321,1294,2009,0,14,0,No,500K
529417,4,1.0,2.0,5374,1331,2016,0,7,0,No,525K
547177,5,1.5,2.5,5427,1368,1910,1999,113,24,Yes,550K
564937,2,2.0,1.0,5480,1405,1917,0,106,0,No,575K
582697,3,2.25,1.5,933,1442,1924,0,99,0,No,575K
600457,4,2.5,2.0,986,1479,1931,0,92,0,No,600K
618217,5,3.0,2.5,1039,1516,1938,0,85,0,No,625K
635977,2,1.0,1.0,1092,1553,1945,0,78,0,No,625K
653737,3,1.5,1.5,1145,1590,1952,0,71,0,No,625K
671497,4,2.0,2.0,1198,1627,1959,2006,64,17,Yes,625K
689257,5,2.25,2.5,1251,1664,1966,0,57,0,No,625K
707017,2,2.5,1.0,1304,1701,1973,0,50,0,No,625K
724777,3,3.0,1.5,1357,1738,1980,0,43,0,No,625K
742537,4,1.0,2.0,1410,1775,1987,0,36,0,No,625K
279817,5,1.5,2.5,1463,1812,1994,0,29,0,No,275K
297577,2,2.0,1.0,1516,1849,2001,0,22,0,No,300K
315337,3,2.25,1.5,1569,1886,2008,2013,15,10,Yes,325K
333097,4,2.5,2.0,1622,1923,2015,0,8,0,No,325K
350857,5,3.0,2.5,1675,1960,1909,0,114,0,No,350K
368617,2,1.0,1.0,1728,1997,1916,0,107,0,No,375K
386377,3,1.5,1.5,1781,2034,1923,0,100,0,No,375K
404137,4,2.0,2.0,1834,2071,1930,0,93,0,No,400K
421897,5,2.25,2.5,1887,2108,1937,0,86,0,No,425K
439657,2,2.5,1.0,1940,2145,1944,1985,79,38,Yes,450K
457417,3,3.0,1.5,1993,2182,1951,0,72,0,No,450K
475177,4,1.0,2.0,2046,2219,1958,0,65,0,No,475K
492937,5,1.5,2.5,2099,2256,1965,0,58,0,No,500K
510697,2,2.0,1.0,2152,2293,1972,0,51,0,No,500K
528457,3,2.25,1.5,2205,2330,1979,0,44,0,No,525K
546217,4,2.5,2.0,2258,2367,1986,0,37,0,No,550K
563977,5,3.0,2.5,2311,1227,1993,1992,30,31,Yes,575K
581737,2,1.0,1.0,2364,1264,2000,0,23,0,No,575K
599497,3,1.5,1.5,2417,1301,2007,0,16,0,No,600K
617257,4,2.0,2.0,2470,1338,2014,0,9,0,No,625K
635017,5,2.25,2.5,2523,1375,1908,0,115,0,No,625K
652777,2,2.5,1.0,2576,1412,1915,0,108,0,No,625K
670537,3,3.0,1.5,2629,1449,1922,0,101,0,No,625K
688297,4,1.0,2.0,2682,1486,1929,1999,94,24,Yes,625K
706057,5,1.5,2.5,2735,1523,1936,0,87,0,No,625K
723817,2,2.0,1.0,2788,1560,1943,0,80,0,No,625K
741577,3,2.25,1.5,2841,1597,1950,0,73,0,No,625K
278857,4,2.5,2.0,2894,1634,1957,0,66,0,No,275K
296617,5,3.0,2.5,2947,1671,1964,0,59,0,No,300K
314377,2,1.0,1.0,3000,1708,1971,0,52,0,No,325K
332137,3,1.5,1.5,3053,1745,1978,2006,45,17,Yes,325K
349897,4,2.0,2.0,3106,1782,1985,0,38,0,No,350K
367657,5,2.25,2.5,3159,1819,1992,0,31,0,No,375K
385417,2,2.5,1.0,3212,1856,1999,0,24,0,No,375K
403177,3,3.0,1.5,3265,1893,2006,0,17,0,No,400K
420937,4,1.0,2.0,3318,1930,2013,0,10,0,No,425K
438697,5,1.5,2.5,3371,1967,1907,0,116,0,No,450K
456457,2,2.0,1.0,3424,2004,1914,2013,109,10,Yes,450K
474217,3,2.25,1.5,3477,2041,1921,0,102,0,No,475K
491977,4,2.5,2.0,3530,2078,1928,0,95,0,No,500K
509737,5,3.0,2.5,3583,2115,1935,0,88,0,No,500K
527497,2,1.0,1.0,3636,2152,1942,0,81,0,No,525K
545257,3,1.5,1.5,3689,2189,1949,0,74,0,No,550K
563017,4,2.0,2.0,3742,2226,1956,0,67,0,No,575K
580777,5,2.25,2.5,3795,2263,1963,1985,60,38,Yes,575K
598537,2,2.5,1.0,3848,2300,1970,0,53,0,No,600K
616297,3,3.0,1.5,3901,2337,1977,0,46,0,No,625K
634057,4,1.0,2.0,3954,2374,1984,0,39,0,No,625K
651817,5,1.5,2.5,4007,1234,1991,0,32,0,No,625K
669577,2,2.0,1.0,4060,1271,1998,0,25,0,No,625K
687337,3,2.25,1.5,4113,1308,2005,0,18,0,No,625K
705097,4,2.5,2.0,4166,1345,2012,1992,11,31,Yes,625K
722857,5,3.0,2.5,4219,1382,1906,0,117,0,No,625K
740617,2,1.0,1.0,4272,1419,1913,0,110,0,No,625K
277897,3,1.5,1.5,4325,1456,1920,0,103,0,No,275K
295657,4,2.0,2.0,4378,1493,1927,0,96,0,No,300K
313417,5,2.25,2.5,4431,1530,1934,0,89,0,No,325K
331177,2,2.5,1.0,4484,1567,1941,0,82,0,No,325K
348937,3,3.0,1.5,4537,1604,1948,1999,75,24,Yes,350K
366697,4,1.0,2.0,4590,1641,1955,0,68,0,No,375K
384457,5,1.5,2.5,4643,1678,1962,0,61,0,No,375K
402217,2,2.0,1.0,4696,1715,1969,0,54,0,No,400K
419977,3,2.25,1.5,4749,1752,1976,0,47,0,No,425K
437737,4,2.5,2.0,4802,1789,1983,0,40,0,No,450K
455497,5,3.0,2.5,4855,1826,1990,0,33,0,No,450K
473257,2,1.0,1.0,4908,1863,1997,2006,26,17,Yes,475K
491017,3,1.5,1.5,4961,1900,2004,0,19,0,No,500K
508777,4,2.0,2.0,5014,1937,2011,0,12,0,No,500K
526537,5,2.25,2.5,5067,1974,1905,0,118,0,No,525K
544297,2,2.5,1.0,5120,2011,1912,0,111,0,No,550K
562057,3,3.0,1.5,5173,2048,1919,0,104,0,No,550K
579817,4,1.0,2.0,5226,2085,1926,0,97,0,No,575K
597577,5,1.5,2.5,5279,2122,1933,2013,90,10,Yes,600K
615337,2,2.0,1.0,5332,2159,1940,0,83,0,No,625K
633097,3,2.25,1.5,5385,2196,1947,0,76,0,No,625K
650857,4,2.5,2.0,5438,2233,1954,0,69,0,No,625K
668617,5,3.0,2.5,5491,2270,1961,0,62,0,No,625K
686377,2,1.0,1.0,944,2307,1968,0,55,0,No,625K
704137,3,1.5,1.5,997,2344,1975,0,48,0,No,625K
721897,4,2.0,2.0,1050,1204,1982,1985,41,38,Yes,625K
739657,5,2.25,2.5,1103,1241,1989,0,34,0,No,625K
276937,2,2.5,1.0,1156,1278,1996,0,27,0,No,275K
294697,3,3.0,1.5,1209,1315,2003,0,20,0,No,300K
312457,4,1.0,2.0,1262,1352,2010,0,13,0,No,300K
330217,5,1.5,2.5,1315,1389,2017,0,6,0,No,325K
347977,2,2.0,1.0,1368,1426,1911,0,112,0,No,350K
365737,3,2.25,1.5,1421,1463,1918,1992,105,31,Yes,375K
383497,4,2.5,2.0,1474,1500,1925,0,98,0,No,375K
401257,5,3.0,2.5,1527,1537,1932,0,91,0,No,400K
419017,2,1.0,1.0,1580,1574,1939,0,84,0,No,425K
436777,3,1.5,1.5,1633,1611,1946,0,77,0,No,425K
454537,4,2.0,2.0,1686,1648,1953,0,70,0,No,450K
472297,5,2.25,2.5,1739,1685,1960,0,63,0,No,475K
490057,2,2.5,1.0,1792,1722,1967,1999,56,24,Yes,500K
507817,3,3.0,1.5,1845,1759,1974,0,49,0,No,500K
525577,4,1.0,2.0,1898,1796,1981,0,42,0,No,525K
543337,5,1.5,2.5,1951,1833,1988,0,35,0,No,550K
561097,2,2.0,1.0,2004,1870,1995,0,28,0,No,550K
578857,3,2.25,1.5,2057,1907,2002,0,21,0,No,575K
596617,4,2.5,2.0,2110,1944,2009,0,14,0,No,600K
614377,5,3.0,2.5,2163,1981,2016,2006,7,17,Yes,625K
632137,2,1.0,1.0,2216,2018,1910,0,113,0,No,625K
649897,3,1.5,1.5,2269,2055,1917,0,106,0,No,625K
667657,4,2.0,2.0,2322,2092,1924,0,99,0,No,625K
685417,5,2.25,2.5,2375,2129,1931,0,92,0,No,625K
703177,2,2.5,1.0,2428,2166,1938,0,85,0,No,625K
720937,3,3.0,1.5,2481,2203,1945,0,78,0,No,625K
738697,4,1.0,2.0,2534,2240,1952,2013,71,10,Yes,625K
275977,5,1.5,2.5,2587,2277,1959,0,64,0,No,275K
293737,2,2.0,1.0,2640,2314,1966,0,57,0,No,300K
311497,3,2.25,1.5,2693,2351,1973,0,50,0,No,300K
329257,4,2.5,2.0,2746,1211,1980,0,43,0,No,325K
347017,5,3.0,2.5,2799,1248,1987,0,36,0,No,350K
364777,2,1.0,1.0,2852,1285,1994,0,29,0,No,375K
382537,3,1.5,1.5,2905,1322,2001,1985,22,38,Yes,375K
400297,4,2.0,2.0,2958,1359,2008,0,15,0,No,400K
418057,5,2.25,2.5,3011,1396,2015,0,8,0,No,425K
435817,2,2.5,1.0,3064,1433,1909,0,114,0,No,425K
453577,3,3.0,1.5,3117,1470,1916,0,107,0,No,450K
471337,4,1.0,2.0,3170,1507,1923,0,100,0,No,475K
489097,5,1.5,2.5,3223,1544,1930,0,93,0,No,500K
506857,2,2.0,1.0,3276,1581,1937,1992,86,31,Yes,500K
524617,3,2.25,1.5,3329,1618,1944,0,79,0,No,525K
542377,4,2.5,2.0,3382,1655,1951,0,72,0,No,550K
560137,5,3.0,2.5,3435,1692,1958,0,65,0,No,550K
577897,2,1.0,1.0,3488,1729,1965,0,58,0,No,575K
595657,3,1.5,1.5,3541,1766,1972,0,51,0,No,600K
613417,4,2.0,2.0,3594,1803,1979,0,44,0,No,625K
631177,5,2.25,2.5,3647,1840,1986,1999,37,24,Yes,625K
648937,2,2.5,1.0,3700,1877,1993,0,30,0,No,625K
666697,3,3.0,1.5,3753,1914,2000,0,23,0,No,625K
684457,4,1.0,2.0,3806,1951,2007,0,16,0,No,625K
702217,5,1.5,2.5,3859,1988,2014,0,9,0,No,625K
719977,2,2.0,1.0,3912,2025,1908,0,115,0,No,625K
737737,3,2.25,1.5,3965,2062,1915,0,108,0,No,625K
275017,4,2.5,2.0,4018,2099,1922,2006,101,17,Yes,275K
292777,5,3.0,2.5,4071,2136,1929,0,94,0,No,300K
310537,2,1.0,1.0,4124,2173,1936,0,87,0,No,300K
328297,3,1.5,1.5,4177,2210,1943,0,80,0,No,325K
346057,4,2.0,2.0,4230,2247,1950,0,73,0,No,350K
363817,5,2.25,2.5,4283,2284,1957,0,66,0,No,375K
381577,2,2.5,1.0,4336,2321,1964,0,59,0,No,375K
